"word","count","freqRatio"
"的",27942,0.716535029233768
"了",19260,0.493896809929224
"是",18863,0.483716278592676
"br",18769,0.481305774951277
"我",16984,0.435531849420453
"都",13569,0.347958765001539
"就",13424,0.344240434916402
"有",12832,0.329059390706739
"在",12703,0.325751359113755
"不",12698,0.325623140834957
"也",12046,0.308903477279721
"你",10975,0.281439121961227
"人",10509,0.269489178377269
"一個",10214,0.261924299928198
"和",9627,0.246871473997333
"說",9271,0.237742332546928
"自己",8676,0.222484357369987
"就是",8470,0.217201764283516
"什麼",8071,0.20696994563545
"沒有",8009,0.205380038978357
"很",8008,0.205354395322597
"會",7983,0.204713303928608
"為",7481,0.191840188737306
"b",7430,0.190532362293569
"好",7425,0.190404144014771
"這個",7285,0.186814032208432
"要",6994,0.179351728382398
"class",6973,0.178813211611447
"com",6961,0.178505487742333
"上",6843,0.175479536362704
"去",6780,0.173863986049851
"可以",6754,0.173197251000103
"看",6725,0.172453584983075
"不是",6643,0.170350805210791
"時候",6550,0.167965945225151
"對",6388,0.163811672992102
"50",6384,0.163709098369063
"到",6349,0.162811570417479
"data",6339,0.162555133859883
"https",6246,0.160170273874244
"他",6219,0.159477895168735
"src",6126,0.157093035183096
"img",6123,0.157016104215817
"覺得",6120,0.156939173248538
"image",6099,0.156400656477587
"因為",6097,0.156349369166068
"zhimg",6095,0.156298081854549
"width",6092,0.15622115088727
"rawwidth",6091,0.156195507231511
"rawheight",6091,0.156195507231511
"這",5988,0.153554210688276
"吧",5925,0.151938660375423
"被",5866,0.150425684685609
"還是",5843,0.149835880603139
"多",5774,0.148066468355729
"能",5763,0.147784388142374
"想",5721,0.146707354600472
"r",5608,0.143809621499641
"zh",5603,0.143681403220843
"origin",5593,0.143424966663247
"original",5592,0.143399323007488
"lightbox",5591,0.143373679351728
"thumb",5591,0.143373679351728
"把",5496,0.14093753205457
"讓",5488,0.140732382808493
"知道",5402,0.138527028413171
"但是",5393,0.138296235511334
"做",5282,0.135449789722023
"那",5214,0.133706021130372
"啊",5145,0.131936608882962
"沒",5082,0.13032105857011
"現在",5007,0.128397784388142
"但",4962,0.127243819878962
"我們",4810,0.123345984203508
"著",4781,0.122602318186481
"所以",4780,0.122576674530721
"如果",4726,0.121191917119705
"jpg",4713,0.12085854959483
"這樣",4678,0.119961021643245
"又",4625,0.118601907887989
"問題",4535,0.116293978869628
"個",4434,0.113703969637912
"而",4398,0.112780798030567
"很多",4284,0.109857421273977
"然後",4207,0.10788285978049
"喜歡",4187,0.107369986665299
"可能",3972,0.101856600676993
"不會",3956,0.101446302184839
"其實",3956,0.101446302184839
"來",3935,0.100907785413889
"里",3905,0.100138475741102
"中",3886,0.0996512462816699
"真的",3882,0.0995486716586317
"最",3873,0.0993178787567956
"更",3842,0.098522925428249
"再",3839,0.0984459944609704
"從",3811,0.0977279720997025
"還有",3806,0.0975997538209047
"大",3800,0.0974458918863473
"才",3766,0.0965740075905221
"跟",3723,0.0954713303928608
"怎麼",3680,0.0943686531951995
"用",3651,0.0936249871781721
"看到",3649,0.093573699866653
"後",3644,0.0934454815878552
"已經",3612,0.0926248846035491
"得",3591,0.0920863678325982
"那麼",3586,0.0919581495538004
"一樣",3577,0.0917273566519643
"下",3560,0.0912914145040517
"還",3552,0.0910862652579752
"他們",3530,0.0905221048312647
"這種",3516,0.0901630936506308
"這麼",3511,0.090034875371833
"感覺",3452,0.0885218996820187
"只是",3443,0.0882911067801826
"一",3372,0.0864704072212535
"開始",3358,0.0861113960406196
"不能",3313,0.0849574315314391
"她",3252,0.0833931685301057
"不要",3197,0.0819827674633296
"吃",3171,0.0813160324135809
"小",3142,0.0805723663965535
"呢",3133,0.0803415734947174
"pic2",3132,0.0803159298389578
"pic4",3128,0.0802133552159196
"pic1",3115,0.0798799876910452
"一下",3073,0.0788029541491435
"pic3",3070,0.0787260231818648
"出來",3041,0.0779823571648374
"應該",3024,0.0775464150169248
"最後",2998,0.0768796799671761
"比",2989,0.07664888706534
"大家",2934,0.075238485998564
"像",2926,0.0750333367524874
"這些",2917,0.0748025438506514
"東西",2914,0.0747256128833726
"3",2903,0.0744435326700174
"一直",2866,0.0734947174069135
"一定",2740,0.0702636167812083
"或者",2730,0.0700071802236127
"那個",2718,0.0696994563544979
"等",2707,0.0694173761411427
"一些",2705,0.0693660888296236
"時間",2695,0.0691096522720279
"而且",2674,0.068571135501077
"不過",2653,0.0680326187301262
"只",2648,0.0679044004513283
"別人",2644,0.0678018258282901
"需要",2636,0.0675966765822136
"這是",2633,0.0675197456149349
"發現",2626,0.0673402400246179
"與",2618,0.0671350907785414
"嗎",2606,0.0668273669094266
"之後",2582,0.0662119191711971
"雖然",2568,0.0658529079905631
"一點",2513,0.0644425069237871
"的話",2509,0.0643399323007488
"當然",2494,0.0639552774643553
"找",2492,0.0639039901528362
"一起",2492,0.0639039901528362
"後來",2462,0.0631346804800492
"比較",2454,0.0629295312339727
"1",2390,0.0612883372653606
"2",2376,0.0609293260847266
"起來",2373,0.0608523951174479
"只有",2359,0.060493383936814
"你們",2334,0.0598522925428249
"事情",2318,0.0594419940506719
"生活",2317,0.0594163503949123
"太",2301,0.0590060519027593
"註",2290,0.058723971689404
"給",2289,0.0586983280336445
"卻",2261,0.0579803056723767
"朋友",2228,0.057134065032311
"過",2221,0.056954559441994
"兩個",2204,0.0565186172940814
"回答",2192,0.0562108934249667
"走",2185,0.0560313878346497
"事",2183,0.0559801005231306
"以",2157,0.0553133654733819
"買",2151,0.0551595035388245
"時",2150,0.0551338598830649
"一種",2149,0.0551082162273054
